County,Lat,Long
Autauga,32.537343,-86.6436807
Baldwin,30.575641,-87.6822837
Barbour,31.861839,-85.4104377
Bibb,32.96198,-87.1491417
Blount,33.993394,-86.5484197
Bullock,32.113063,-85.7253847
Butler,31.754293,-86.6868217
Calhoun,33.764399,-85.8262917
Chambers,32.89741,-85.4054067
Cherokee,34.146059,-85.6305077
Chilton,32.819192,-86.6932137
Choctaw,31.98179,-88.2798597
Clarke,31.706192,-87.8430937
Clay,33.225604,-85.8433407
Cleburne,33.597183,-85.5152217
Coffee,31.380662,-85.9956347
Colbert,34.65904,-87.7945537
Conecuh,31.422258,-87.0140577
Coosa,32.920344,-86.2549717
Covington,31.218507,-86.4635087
Crenshaw,31.705869,-86.3014477
Cullman,34.127869,-86.8781137
Dale,31.440023,-85.6035937
Dallas,32.323093,-87.1229647
DeKalb,34.433275,-85.8221267
Elmore,32.596809,-86.1461617
Escambia,31.129114,-87.1638997
Etowah,34.03191,-86.0661407
Fayette,33.712246,-87.7573737
Franklin,34.445336,-87.8737577
Geneva,31.099237,-85.8587437
Greene,32.87345,-87.9755807
Hale,32.781783,-87.6337797
Henry,31.528653,-85.2469717
Houston,31.148303,-85.2839697
Jackson,34.81062,-86.0131107
Jefferson,33.564901,-86.8723457
Lamar,33.76026,-88.0975517
Lauderdale,34.906817,-87.6637567
Lawrence,34.495958,-87.3147507
Lee,32.604719,-85.3470637
Limestone,34.815426,-87.0106457
Lowndes,32.145701,-86.6560467
Macon,32.373858,-85.7133837
Madison,34.746332,-86.5889667
Marengo,32.248498,-87.7919997
Marion,34.134293,-87.9051197
Marshall,34.354488,-86.3054597
Mobile,30.816734,-88.2117797
Monroe,31.550294,-87.3722847
Montgomery,32.263498,-86.2176167
Morgan,34.449434,-86.8534567
Perry,32.641156,-87.3234977
Pickens,33.282044,-88.0728567
Pike,31.786330,-85.931327
Randolph,33.293361,-85.458312
Russell,32.280979,-85.176645
Shelby,33.244202,-86.666080
St.Clair,33.724149, -86.309502
Sumter,32.527531,-88.195742
Talladega,33.431926,-86.099240
Tallapoosa,32.908285,-85.796619
Tuscaloosa,33.266112,-87.542530
Walker,33.814727,-87.297656
Washington,31.409895,-88.201981
Wilcox,31.981399,-87.361180
Winston,34.143638,-87.398371
